field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
sp_elig_calc,postconsent_study_plan_crf_v06,,calc,"Participant Inclusion/Exclusion Eligibility Calculation","if (([sp_inclcomply] + [sp_inclage1884] + [sp_inclsurg])='3' and  ([sp_exclarthkneerep] + [sp_exclinfdxjoint] + [sp_exclbilkneerep] + [sp_exclnoreadspkenglish])='0',1,0)",,,,,,,,,,,,@HIDDEN
sp_elig_calc_2,postconsent_study_plan_crf_v06,,calc,"Participant Inclusion sum testing","sum([sp_inclcomply] + [sp_inclage1884] + [sp_inclsurg])",,,,,,,,,,,,@HIDDEN
sp_surgsite,postconsent_study_plan_crf_v06," ",radio,"Confirm surgical incision site:","1, Right Knee | 2, Left Knee","Planned surgical incision site",,,,,,,RH,,,,
sp_mricompatscr,postconsent_study_plan_crf_v06," ",radio,"<div class=""rich-text-field-label""><p>MRI compatibility screening:</p></div>","1, Pt has MR imaging contraindications, exclude from study | 2, MRI compatibility screen incomplete, need additional information from patient | 3, MRI screen complete, needs follow-up to determine compatibility by investigator | 4, Complete, cleared for imaging (no known contraindications)",,,,,,,,,,,,
sp_comments,postconsent_study_plan_crf_v06,,notes,"Additional Comments:",,,,,,,,,,,,,
dt_sp_unverified,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h4><span style=""background-color: #e67e23;"">Note: Please leave this form status as ""Unverified"" until the MRI compatibility screening has been finalized.</span></h4></div>",,,,,,,"[sp_mricompatscr] = '2' or [sp_mricompatscr] = '3'",,,,,,
dt_sp_eligible,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h3 style=""text-align: center;""><span style=""background-color: #bfedd2;"">Patient is Eligible</span></h3></div>",,,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
dt_sp_eligible_2,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h3 style=""text-align: center;""><span style=""background-color: #f1c40f;"">Patient is Ineligible</span></h3></div>",,,,,,,"[sp_inclcomply]='0' or [sp_inclage1884]='0' or [sp_inclsurg]='0' or [sp_exclarthkneerep]='1' or [sp_exclinfdxjoint]='1' or [sp_exclbilkneerep]='1' or [sp_exclnoreadspkenglish]='1' or [sp_mricompatscr] = '1'",,,,,,
sp_dt_1,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h4><span style=""text-decoration: underline;"">Scheduling Visits</span></h4></div>",,,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_surg_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Confirm Surgery Date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",y,,,,,
sp_v1_preop_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V1 (Pre-Op) date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_v1_preop_dss,postconsent_study_plan_crf_v06,,calc,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Pre-op visit: days since surgery</p></div>","datediff([sp_v1_preop_date],[sp_surg_date],'d')",,,,,,,,,,,,@HIDDEN
sp_dt_preop_datetime,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; border-style: none;"" border=""0""> <tbody> <tr> <td style=""width: 42%; text-align: right;"" colspan=""3"">V1 (Pre-Op) time:</td> <td style=""width: 3%; text-align: left;""> </td> <td style=""width: 20%; text-align: left;"">{sp_v1_preop_time}</td> <td style=""width: 10%;"">{sp_v1_preop_time_ampm}</td> </tr> </tbody> </table></div>",,,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_v1_preop_time,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V1 (Pre-Op) time:</p></div>",,HH:MM,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,@PLACEHOLDER='HH:MM'
sp_v1_preop_time_ampm,postconsent_study_plan_crf_v06,,dropdown,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V1 (Pre-Op) time AM/PM:</p></div>","AM, AM | PM, PM",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_v2_6wk_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V2 (~6 week Follow-up) date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,"@CALCDATE([sp_surg_date], 42, 'd')"
sp_v3_3mo_date,postconsent_study_plan_crf_v06,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">V3 (~3 month Follow-up) date:</p></div>",,,date_mdy,,,y,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,"@CALCDATE([sp_surg_date], 3, 'M')"
sp_imaging_site,postconsent_study_plan_crf_v06,"Imaging Site (Rush participants only)",radio,"Indicate site where imaging will be done:","1, University of Illinois at Chicago | 2, Rush University Medical Center",,,,,,"[record-dag-name]=""rush_university_me""",y,,,,,"20240216 Added for Rush participants with addition of Rush imaging. AHACKMAN"
sp_previsit_survey_pref,postconsent_study_plan_crf_v06," ",radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please indicate how you would like to receive </span>Pre-Visit surveys<span style=""font-weight: normal;"">:</span></p></div>","1, E-mail with survey link | 2, Text message with survey link (need smart phone) | 3, In-person (provide paper version)",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_daily_survey_pref,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please indicate how you would like to receive </span>Daily Trajectory surveys:</p></div>","1, E-mail | 2, Text message with link, take via browser (smart phone) | 3, Text message, take survey via SMS (flip phone) | 4, Automated voice option | 5, In-person (provide paper version)",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,@HIDECHOICE='4'
sp_assess_remote,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Send electronic surveys to this participant?<br /><br /></p> <p>If YES, <span style=""font-weight: normal;"">electronic invitations will be scheduled and sent to this participant.</span></p> <p>If NO, <span style=""font-weight: normal;"">invitations will NOT be sent and any already scheduled will be cancelled.</span></p></div>","1, Yes | 0, No",,,,,,"[sp_previsit_survey_pref] = '1' or [sp_previsit_survey_pref] = '2' or [sp_daily_survey_pref] = '1' or [sp_daily_survey_pref] = '2'  or [sp_daily_survey_pref] = '3' or [sp_daily_survey_pref] = '4'",y,,,,,
sp_dt_wd_alert,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h4 style=""text-align: center;""><span style=""background-color: #f8cac6;"">Alert! </span></h4> <p>This participant has been withdrawn from the study.</p> <p>This OVERRIDES the ""Send electronic survey.."" setting above and <span style=""text-decoration: underline;"">no future email or text invitations will be sent</span> to the participant.</p> <p>Date of early termination:<span style=""font-weight: normal;""> <span style=""background-color: #f8cac6;"">[event_reporting_arm_1][ewdateterm]</span></span></p> <p>Primary reason for termination:<span style=""font-weight: normal;""> <span style=""background-color: #f8cac6;"">[event_reporting_arm_1][ewprimaryreason]</span></span></p></div>",,,,,,,"[event_reporting_arm_1][ewdateterm]<>""""",,,,,,
brthdtc,patient_demographics_baseline_v03_demographics_i,,text,"1. Birth date",,,date_mdy,,,y,,,,,,,@HIDEBUTTON
age,patient_demographics_baseline_v03_demographics_i,,text,"2. Age",,"xx years",number,20,100,,,,,,,,
sex,patient_demographics_baseline_v03_demographics_i,,radio,"3. Sex at birth","1, Male | 2, Female | 3, Unknown | 4, Intersex",,,,,,,,,,,,
genident,patient_demographics_baseline_v03_demographics_i,,radio,"4. Gender identity","1, Male | 2, Female | 3, Unknown | 4, Other, specify",,,,,,,,,,,,
genidentoth,patient_demographics_baseline_v03_demographics_i,,text,"Gender identity - Other, specify",,,,,,,"[genident] = '4'",,,,,,
ethnic,patient_demographics_baseline_v03_demographics_i,,radio,"5. Ethnicity","1, Hispanic or Latino, A person of Mexican, Puerto Rican, Cuban, Central or South American or other Spanish culture or origin, regardless of race | 2, Not Hispanic or Latino, A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. An arbitrary ethnic classification | 3, Unknown, Not known, not observed, not recorded, or refused | 4, Not reported, Not provided or available",,,,,,,,,,,,
dem_race,patient_demographics_baseline_v03_demographics_i,,checkbox,"6. Race - (Choose all that apply)","1, American Indian or Alaska Native | 2, Asian | 3, Black or African-American | 4, Native Hawaiian or Pacific Islander | 5, White | 6, Unknown | 7, Not Reported",,,,,,,,,,,,
opt_q5_thera_exer,other_pain_treatments_v3_other_treatments,,radio,"1.	In the PAST 4 WEEKS, how often have you participated in therapeutic exercises for your pain condition at home or in a clinic (for example, physical therapy, occupational therapy, home exercise program prescribed for you, etc):","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
opt_q6_hands_on_trt,other_pain_treatments_v3_other_treatments,,radio,"2.	In the PAST 4 WEEKS, how often have you received hands‐on treatment for your pain condition (for example, massage, chiropractic adjustment, acupuncture, etc):","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
opt_q7_modality_trt,other_pain_treatments_v3_other_treatments,,radio,"3.	In the PAST 4 WEEKS, how often have you applied a treatment for your pain condition (for example, topical nerve stimulation (TENS), ice pack, hot pack, menthol cream product, patch product, etc):","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
opt_q8_mental_hlth_trt,other_pain_treatments_v3_other_treatments,,radio,"4.	In the PAST 4 WEEKS, how often have you received behavioral or mental health treatment for your pain (for example, from a Psychologist, Licensed Social Worker, Mental Health Counselor, etc):","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
opt_q2_anx_meds,other_pain_treatments_v3_other_treatments,,radio,"5.	In the PAST 4 WEEKS, how often have you used any anxiety medications (for example, alprazolam (Xanax), lorazepam (Ativan))?","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
opt_q3_ns_pain_meds,other_pain_treatments_v3_other_treatments,,radio,"6.	In the PAST 4 WEEKS, how often have you used any prescription or over‐the‐counter non‐steroidal pain relievers (for example, ibuprofen (Advil, Motrin), naproxyn (Aleve), aspirin (>325 mg), Celecoxib, Meloxicam)?","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
opt_q4_cbd,other_pain_treatments_v3_other_treatments,,radio,"7.	In the PAST 4 WEEKS, how often have you used any THC/CBD or marijuana products for pain relief (e.g., CBD oil, edibles, weed, gummies, etc):","1, Daily or almost daily | 2, 2-4 days/week | 3, Weekly | 4, Less than 1 day/week | 5, Never",,,,,,,,,,opt1,,
oms1notavailable,other_medical_surgical_treatments_ii,,dropdown,"Form added on 9/24/2021 - Indicate if the form was not available for participant to complete because the event was already past:","1, Form was not available at this event",,,,,,,,,,,,@HIDDEN-SURVEY
oms1timeframe,other_medical_surgical_treatments_ii,,text,"Set the ""timeframe"" for all of the questions below.
Timeframe options entered into each item:
1. ""in the past 6 weeks""
2. ""In the past 3 months""
3. ""in the past 6 months""

When to use each timeframe option:
Baseline: use option 3. ""in the past 6 months""
6 week follow up: Use option 1. ""in the past 6 weeks""
3 month follow up: Use option 1. ""in the past 6 weeks""
6 month follow up: Use option 2. ""In the past 3 months""
",,,,,,,,,,,,,"@CALCTEXT(if([event-name]=""baseline_visit_arm_1"",""in the past 6 months"",if([event-name]=""6wks_postop_arm_1"",""in the past 6 weeks"",
if([event-name]=""3mo_postop_arm_1"",""in the past 6 weeks"",
if([event-name]=""6mo_postop_arm_1"",""in the past 3 months"","""")))))
@READONLY @HIDDEN-SURVEY"
oms1chemoyn,other_medical_surgical_treatments_ii,,radio,"1. Did you receive any Chemotherapy / Immunotherapy for cancer in the past [oms1timeframe]?","1, Yes | 0, No",,,,,,,,RH,,,,
oms1radtxyn,other_medical_surgical_treatments_ii,,radio,"2. Did you receive any Radiation Therapy for cancer in the past [oms1timeframe]?","1, Yes | 0, No",,,,,,,,RH,,,,
oms1surgyn,other_medical_surgical_treatments_ii,,radio,"3. In the past [oms1timeframe], have you had any additional significant surgical procedures beyond your knee replacement?","1, Yes | 0, No",,,,,,"[event-name]<>""baseline_visit_arm_1""",,RH,,,,
oms1surgrel,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">3.1 Related to my original knee surgery</p></div>","1, Yes | 0, No",,,,,,"[oms1surgyn] = '1'",,RH,,,,
dt_allthatapply,other_medical_surgical_treatments_ii,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Choose all that apply</p></div>",,,,,,,"[oms1surgrel] = '1'",,,,,,
oms1relmanipultn,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Knee manipulation",,,,,,"[oms1surgrel] = '1'",,RH,,,,
oms1relinfection,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Infection at surgical site",,,,,,"[oms1surgrel] = '1'",,RH,,,,
oms1relrevision,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Revision of knee replacement",,,,,,"[oms1surgrel] = '1'",,RH,,,,
oms1relother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Other",,,,,,"[oms1surgrel] = '1'",,RH,,,,
oms1relothertxt,other_medical_surgical_treatments_ii,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Other specify:</p></div>",,,,,,,"[oms1relother(1)] = '1'",,RH,,,,
oms1surgunr,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">3.2 Unrelated to my original knee surgery</p></div>","1, Yes | 0, No",,,,,,"[oms1surgyn] = '1'",,RH,,,,
dt_allthatapply_2,other_medical_surgical_treatments_ii,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Choose all that apply</p></div>",,,,,,,"[oms1surgunr] = '1'",,,,,,
oms1unrotherknee,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Surgery on the other knee",,,,,,"[oms1surgunr] = '1'",,RH,,,,
oms1unrsurgother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Surgery on another region",,,,,,"[oms1surgunr] = '1'",,RH,,,,
oms1unrother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Other",,,,,,"[oms1surgunr] = '1'",,RH,,,,
oms1unrothertxt,other_medical_surgical_treatments_ii,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Other specify:</p></div>",,,,,,,"[oms1unrother(1)] = '1'",,RH,,,,
oms1visityn,other_medical_surgical_treatments_ii,,radio,"4. In the past [oms1timeframe], have you had any non-scheduled visits with your doctor or gone to the hospital for a non-scheduled reason?","1, Yes | 0, No",,,,,,"[event-name]<>""baseline_visit_arm_1""",,RH,,,,
oms1relvisit,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">4.1. Related to my original knee surgery </p></div>","1, Yes | 0, No",,,,,,"[oms1visityn] = '1'",,RH,,,,
dt_allthatapply_3,other_medical_surgical_treatments_ii,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Choose all that apply</p></div>",,,,,,,"[oms1relvisit] = '1'",,,,,,
oms1relvisited,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Emergency room / Urgent care clinic visit",,,,,,"[oms1relvisit] = '1'",,RH,,,,
oms1relvisitoffice,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Physician office visit",,,,,,"[oms1relvisit] = '1'",,RH,,,,
oms1relvisitother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Other",,,,,,"[oms1relvisit] = '1'",,RH,,,,
oms1relvisitothertxt,other_medical_surgical_treatments_ii,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Other specify:</p></div>",,,,,,,"[oms1relvisitother(1)] = '1'",,RH,,,,
oms1unrvisit,other_medical_surgical_treatments_ii,,radio,"<div class=""rich-text-field-label""><p style=""text-align: right;"">4.2 Unrelated to my original knee surgery</p></div>","1, Yes | 0, No",,,,,,"[oms1visityn] = '1'",,RH,,,,
dt_allthatapply_4,other_medical_surgical_treatments_ii,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Choose all that apply</p></div>",,,,,,,"[oms1unrvisit] = '1'",,,,,,
oms1unrvisited,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Emergency room / Urgent care clinic visit",,,,,,"[oms1unrvisit] = '1'",,RH,,,,
oms1unrvisitoffice,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Physician office visit",,,,,,"[oms1unrvisit] = '1'",,RH,,,,
oms1unrvisitother,other_medical_surgical_treatments_ii,,checkbox,"<div class=""rich-text-field-label""></div>","1, Other",,,,,,"[oms1unrvisit] = '1'",,RH,,,,
oms1unrvisitothertxt,other_medical_surgical_treatments_ii,,text,"<div class=""rich-text-field-label""><p style=""text-align: right;"">Other specify:</p></div>",,,,,,,"[oms1unrvisitother(1)] = '1'",,RH,,,,
pgicsymptomchangestatval,patient_global_impression_of_change_pgic,,radio,"Since the start of the study (treatment), my overall pain is ....","0, Very much improved | 1, Much improved | 2, Minimally improved | 3, No change | 4, Minimally worse | 5, Much worse | 6, Very much worse",,,,,,,,,,,,
bpipainanatsiteareatxt,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,text,,,,,,,,"[informed_consent_arm_1][contact_language]=""en""",,,,,,@IMAGEMAP=MBODY
bpipainanatsiteareatxt_sp,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,text,,,,,,,,"[informed_consent_arm_1][contact_language]=""es""",,,,,,@IMAGEMAP=MBODY_SP
bpi_mbm_z1_rate,bpisf_the_brief_pain_inventory_v23_short_form_bpi," ",radio,"You indicated having pain in the head / face / jaw. 
Please rate your pain in this region by choosing the number that best describes your average pain in the LAST 24 HOURS.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","0 = No Pain ------------------------------------------------------------------ 10 = Pain as bad as you can imagine",,,,,"(contains ([bpipainanatsiteareatxt], ""a00"") or contains ([bpipainanatsiteareatxt], ""a01"") or contains ([bpipainanatsiteareatxt], ""a02"") or contains ([bpipainanatsiteareatxt], ""a25"")) or 
(contains ([bpipainanatsiteareatxt_sp], ""a00"") or contains ([bpipainanatsiteareatxt_sp], ""a01"") or contains ([bpipainanatsiteareatxt_sp], ""a02"") or contains ([bpipainanatsiteareatxt_sp], ""a25""))",,LH,,,,
bpi_mbm_z1_dur,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,radio,"How long have you been experiencing pain in the head / face / jaw? Choose the best option:","1, less than 1 month | 2, 1 month or more, but less than 6 months | 3, 6 months or more, but less than 2 years | 4, 2 years or more",,,,,,"(contains ([bpipainanatsiteareatxt], ""a00"") or contains ([bpipainanatsiteareatxt], ""a01"") or contains ([bpipainanatsiteareatxt], ""a02"") or contains ([bpipainanatsiteareatxt], ""a25"")) or 
(contains ([bpipainanatsiteareatxt_sp], ""a00"") or contains ([bpipainanatsiteareatxt_sp], ""a01"") or contains ([bpipainanatsiteareatxt_sp], ""a02"") or contains ([bpipainanatsiteareatxt_sp], ""a25""))",,LV,,,,
bpi_mbm_z2_rate,bpisf_the_brief_pain_inventory_v23_short_form_bpi," ",radio,"You indicated having pain in the neck. 
Please rate your pain in this region by choosing the number that best describes your average pain in the LAST 24 HOURS.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","0 = No Pain ------------------------------------------------------------------ 10 = Pain as bad as you can imagine",,,,,"contains ([bpipainanatsiteareatxt], ""a26"") or contains ([bpipainanatsiteareatxt_sp], ""a26"")",,LH,,,,
bpi_mbm_z2_dur,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,radio,"How long have you been experiencing pain in the neck? Choose the best option:","1, less than 1 month | 2, 1 month or more, but less than 6 months | 3, 6 months or more, but less than 2 years | 4, 2 years or more",,,,,,"contains ([bpipainanatsiteareatxt], ""a26"") or contains ([bpipainanatsiteareatxt_sp], ""a26"")",,LV,,,,
bpi_mbm_z3_rate,bpisf_the_brief_pain_inventory_v23_short_form_bpi," ",radio,"You indicated having pain in the chest/breast. 
Please rate your pain in this region by choosing the number that best describes your average pain in the LAST 24 HOURS.","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10","0 = No Pain ------------------------------------------------------------------ 10 = Pain as bad as you can imagine",,,,,"contains ([bpipainanatsiteareatxt], ""a03"") or contains ([bpipainanatsiteareatxt], ""a04"") or contains ([bpipainanatsiteareatxt_sp], ""a03"") or contains ([bpipainanatsiteareatxt_sp], ""a04"")",,LH,,,,
bpi_mbm_z3_dur,bpisf_the_brief_pain_inventory_v23_short_form_bpi,,radio,"How long have you been experiencing pain in the chest/breast? Choose the best option:","1, less than 1 month | 2, 1 month or more, but less than 6 months | 3, 6 months or more, but less than 2 years | 4, 2 years or more",,,,,,"contains ([bpipainanatsiteareatxt], ""a03"") or contains ([bpipainanatsiteareatxt], ""a04"") or contains ([bpipainanatsiteareatxt_sp], ""a03"") or contains ([bpipainanatsiteareatxt_sp], ""a04"")",,LV,,,,
